,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Max Aarons\774cf58b,eng ENG,DF,Norwich City,eng Premier League,21-348,2000,17,17,1530,17.0,0,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,0.6,0.6,0.9,1.4,0.03,0.05,0.08,0.03,0.08,Matches
2,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,34-081,1987,17,17,1530,17.0,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,0.6,0.6,0.2,0.7,0.03,0.01,0.04,0.03,0.04,Matches
3,Salis Abdul Samed\82464ce3,gh GHA,MF,Clermont Foot,fr Ligue 1,21-267,2000,17,16,1415,15.7,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.8,1.2,0.02,0.05,0.07,0.02,0.07,Matches
4,Laurent Abergel\31626657,fr FRA,MF,Lorient,fr Ligue 1,28-320,1993,17,17,1497,16.6,0,1,0,0,0,6,0,0.00,0.06,0.06,0.00,0.06,1.5,1.5,1.6,3.2,0.09,0.10,0.19,0.09,0.19,Matches
5,Charles Abi\469d3d84,fr FRA,FW,Saint-Étienne,fr Ligue 1,21-250,2000,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Dickson Abiama\cadd666a,ng NGA,FW,Greuther Fürth,de Bundesliga,23-045,1998,13,5,556,6.2,0,1,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,2.0,2.0,1.1,3.1,0.32,0.18,0.50,0.32,0.50,Matches
7,Matthis Abline\bbe96b16,fr FRA,FW,Rennes,fr Ligue 1,18-265,2003,7,1,103,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.4,0.30,0.03,0.32,0.30,0.32,Matches
8,Tammy Abraham\f586779e,eng ENG,FW,Roma,it Serie A,24-077,1997,16,16,1370,15.2,4,3,4,0,0,5,0,0.26,0.20,0.46,0.26,0.46,8.5,8.5,2.5,11.0,0.56,0.16,0.72,0.56,0.72,Matches
9,Luis Abram\1f462f95,pe PER,DF,Granada,es La Liga,25-294,1996,8,6,560,6.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.08,0.00,0.08,0.08,0.08,Matches
10,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,33-311,1988,16,16,1425,15.8,2,0,2,0,0,1,1,0.13,0.00,0.13,0.13,0.13,0.6,0.6,0.2,0.9,0.04,0.02,0.06,0.04,0.06,Matches
