,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Ignazio Abate\1c529186,DFMF,it Italy,27,1986,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2,Vincent Aboubakar\8637e09a,FW,cm Cameroon,22,1992,2,2,140,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
3,Gabriel Achilier\bf7d1725,DF,ec Ecuador,29,1985,2,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Johnny Acosta\6aaf0284,DF,cr Costa Rica,30,1983,2,1,164,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
5,Afriyie Acquah\d7403bd5,MF,gh Ghana,22,1992,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
6,Albert Adomah\c7174e81,FWMF,gh Ghana,26,1987,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
7,Harrison Afful\7d8ede09,DFMF,gh Ghana,27,1986,2,2,180,2.0,0,1,0,0,0,1,0,0.00,0.50,0.50,0.00,0.50,Matches
8,Sergio Agüero\4d034881,FW,ar Argentina,26,1988,5,3,313,3.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Abel Aguilar\6936b41b,MF,co Colombia,29,1985,3,3,236,2.6,0,2,0,0,0,0,0,0.00,0.76,0.76,0.00,0.76,Matches
10,Paul Aguilar\c931cdfe,DF,mx Mexico,28,1986,4,4,360,4.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
11,Emmanuel Agyemang-Badu\fe0b8f0e,MF,gh Ghana,23,1990,2,1,103,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
12,Igor Akinfeev\42ec696a,GK,ru Russia,28,1986,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
13,Jordi Alba\4601e194,DFMF,es Spain,25,1989,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
14,Raúl Albiol\4bd414c1,DF,es Spain,28,1985,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
15,Toby Alderweireld\f7d50789,DF,be Belgium,25,1989,4,4,390,4.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
16,André Almeida\67b3d74b,DFMF,pt Portugal,23,1990,2,1,71,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
17,Hugo Almeida\740acaf8,FW,pt Portugal,30,1984,1,1,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
18,Xabi Alonso\dc001a06,MF,es Spain,32,1981,3,3,189,2.1,1,0,0,1,1,1,0,0.48,0.00,0.48,0.00,0.00,Matches
19,Jozy Altidore\8db8ad1e,FW,us United States,24,1989,1,1,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
20,Éder Álvarez Balanta\8ce30c57,DFMF,co Colombia,21,1993,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
21,Ricky Álvarez\92a5ac34,MF,ar Argentina,26,1988,1,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
22,Bruno Alves\585a73a8,DF,pt Portugal,32,1981,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
23,Dani Alves\c9e99e49,DFMF,br Brazil,31,1983,4,4,390,4.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
24,Efe Ambrose\31e86a0f,DF,ng Nigeria,25,1988,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
25,Shola Ameobi\e79a368b,FW,ng Nigeria,32,1981,2,0,65,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
26,Rúben Amorim\a9dfa7ad,MF,pt Portugal,29,1985,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
27,Aleksei Anatolyevich Kozlov\4791344b,DF,ru Russia,27,1986,2,2,151,1.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
28,Karim Ansarifard\50cddd19,FW,ir Iran,24,1990,1,0,23,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
29,Toshihiro Aoyama\c1b2b6e0,MF,jp Japan,28,1986,1,1,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
30,Javier Aquino\215104cc,MF,mx Mexico,24,1990,1,0,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
31,Charles Aránguiz\56413b1f,MF,cl Chile,25,1989,4,4,363,4.0,1,1,1,0,0,1,0,0.25,0.25,0.50,0.25,0.50,Matches
32,Egidio Arévalo\eb65c8f9,MF,uy Uruguay,32,1982,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
33,Santiago Arias\fdd60087,DF,co Colombia,22,1992,3,1,126,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
34,Pablo Armero\afabf74e,DFMF,co Colombia,27,1986,5,5,414,4.6,1,0,1,0,0,1,0,0.22,0.00,0.22,0.22,0.22,Matches
35,Michael Arroyo\a5f43c3f,FWMF,ec Ecuador,27,1987,2,1,102,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
36,Kwadwo Asamoah\089550f5,DFMF,gh Ghana,25,1988,3,3,270,3.0,0,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,Matches
37,Benoît Assou-Ekotto\a557e6b0,DF,cm Cameroon,30,1984,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
38,Christian Atsu\8816329f,FWMF,gh Ghana,22,1992,3,3,238,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
39,Serge Aurier\5c2b4f07,DFMF,ci Côte d'Ivoire,21,1992,3,3,270,3.0,0,2,0,0,0,0,0,0.00,0.67,0.67,0.00,0.67,Matches
40,André Ayew\5dbefa9d,FWMF,gh Ghana,24,1989,3,3,261,2.9,2,0,2,0,0,0,0,0.69,0.00,0.69,0.69,0.69,Matches
41,Jordan Ayew\da052c14,FWMF,gh Ghana,22,1991,3,1,117,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
42,Walter Ayoví\7d5241b0,DFMF,ec Ecuador,34,1979,3,3,270,3.0,0,2,0,0,0,0,0,0.00,0.67,0.67,0.00,0.67,Matches
43,Ramon Azeez\0cc474e7,MF,ng Nigeria,21,1992,1,1,68,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
44,César Azpilicueta\53cad200,DFMF,es Spain,24,1989,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
45,Michael Babatunde\4e946302,MF,ng Nigeria,21,1992,2,2,139,1.5,0,1,0,0,0,0,0,0.00,0.65,0.65,0.00,0.65,Matches
46,Carlos Bacca\09a9e921,FW,co Colombia,27,1986,1,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
47,Leighton Baines\b18095b6,DF,eng England,29,1984,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
48,Mario Balotelli\8ff07990,FW,it Italy,23,1990,3,3,207,2.3,1,0,1,0,0,2,0,0.43,0.00,0.43,0.43,0.43,Matches
49,Sol Bamba\5534217d,DF,ci Côte d'Ivoire,29,1985,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
50,Ross Barkley\3a24769f,MF,eng England,20,1993,3,1,147,1.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
51,Michael Barrantes\2bbff300,MF,cr Costa Rica,30,1983,2,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
52,Boubacar Barry\bfa2435a,GK,ci Côte d'Ivoire,34,1979,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
53,Andrea Barzagli\7c0000fd,DF,it Italy,33,1981,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
54,DaMarcus Beasley\e4d6e7d9,DFFW,us United States,32,1982,4,4,390,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
55,Jean Beausejour\c8404849,DFFW,cl Chile,30,1984,2,0,68,0.8,1,0,1,0,0,0,0,1.32,0.00,1.32,1.32,1.32,Matches
56,Brayan Beckeles\5a19e4b8,DF,hn Honduras,28,1985,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
57,Kyle Beckerman\3485cb96,MF,us United States,32,1982,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
58,Henri Bedimo\0d57f1c1,DF,cm Cameroon,30,1984,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
59,Alejandro Bedoya\9a6f8dfd,FWMF,us United States,27,1987,4,3,283,3.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
60,Asmir Begović\7b4de647,GK,ba Bosnia and Herzegovina,26,1987,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
61,Valon Behrami\d3d758d8,DFMF,ch Switzerland,29,1985,4,4,345,3.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
62,Essaïd Belkalem\747e6a95,DF,dz Algeria,25,1989,3,2,212,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
63,Diego Benaglio\b7e7937d,GK,ch Switzerland,30,1983,4,4,390,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
64,Jerry Bengtson\846938b6,FW,hn Honduras,27,1987,3,3,225,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
65,Nabil Bentaleb\3189f61a,MF,dz Algeria,19,1994,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
66,Karim Benzema\70d74ece,FW,fr France,26,1987,5,5,450,5.0,3,2,2,1,2,0,0,0.60,0.40,1.00,0.40,0.80,Matches
