,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Mohamed Abdel-Shafy\f948de7f,DF,eg Egypt,32,1985,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
2,Shehu Abdullahi\7ecc9dee,DF,ng Nigeria,25,1993,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
3,Johnny Acosta\6aaf0284,DF,cr Costa Rica,34,1983,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
4,Marcos Acuña\81442ecb,MFDF,ar Argentina,26,1991,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.03,0.03,0.06,0.03,0.06,Matches
5,Luis Advíncula\cacadf4f,DF,pe Peru,28,1990,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.02,0.01,0.03,0.02,0.03,Matches
6,Sergio Agüero\4d034881,FW,ar Argentina,30,1988,4,2,179,2.0,2,0,2,0,0,0,0,1.01,0.00,1.01,1.01,1.01,0.5,0.5,0.0,0.6,0.27,0.02,0.29,0.27,0.29,Matches
7,Abel Aguilar\6936b41b,MF,co Colombia,33,1985,1,1,31,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
8,Karim El Ahmadi\0ff9eabc,MF,ma Morocco,33,1985,3,3,265,2.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,Matches
9,Manuel Akanji\89ac64a6,DF,ch Switzerland,22,1995,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches
10,Igor Akinfeev\42ec696a,GK,ru Russia,32,1986,5,5,510,5.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
11,Jordi Alba\4601e194,DF,es Spain,29,1989,4,4,390,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.5,0.03,0.08,0.11,0.03,0.11,Matches
12,Thiago Alcántara\77e84962,MF,es Spain,27,1991,2,1,94,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.13,0.21,0.33,0.13,0.33,Matches
13,Toby Alderweireld\f7d50789,DF,be Belgium,29,1989,6,6,540,6.0,0,1,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,0.2,0.2,0.8,1.0,0.04,0.13,0.17,0.04,0.17,Matches
14,Trent Alexander-Arnold\cd1acf9d,MF,eng England,19,1998,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.10,0.25,0.35,0.10,0.35,Matches
15,Alisson\7a2e46a8,GK,br Brazil,25,1992,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
16,Dele Alli\cea4ee8f,MF,eng England,22,1996,5,4,362,4.0,1,0,1,0,0,0,0,0.25,0.00,0.25,0.25,0.25,0.4,0.4,0.5,0.9,0.09,0.13,0.22,0.09,0.22,Matches
17,Edson Álvarez\8b3ab7ad,DFMF,mx Mexico,20,1997,4,3,267,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.01,0.03,0.03,0.03,Matches
18,Michael Amir Murillo\349cae8f,DF,pa Panama,22,1996,2,2,180,2.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.7,0.31,0.01,0.33,0.31,0.33,Matches
19,Vahid Amiri\750cc65b,MF,ir Iran,30,1988,3,3,265,2.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.4,0.02,0.12,0.15,0.02,0.15,Matches
20,Mohamed Amine Ben Amor\b2a390b3,MF,tn Tunisia,26,1992,1,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
21,Nordin Amrabat\7c2a398c,MFFW,ma Morocco,31,1987,3,3,255,2.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.01,0.08,0.08,0.01,0.08,Matches
22,Sofyan Amrabat\5a2cb25d,DF,ma Morocco,21,1996,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
23,Karim Ansarifard\50cddd19,MFFW,ir Iran,28,1990,3,2,179,2.0,1,0,0,1,1,1,0,0.50,0.00,0.50,0.00,0.00,0.8,0.0,0.1,0.1,0.40,0.05,0.45,0.02,0.07,Matches
24,Pedro Aquino\c4bfc6c5,MF,pe Peru,23,1995,3,1,139,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
25,Santiago Arias\fdd60087,DF,co Colombia,26,1992,4,4,385,4.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.01,0.00,0.01,Matches
26,Franco Armani\b3e42951,GK,ar Argentina,31,1986,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
27,Kári Árnason\7603aa77,DF,is Iceland,35,1982,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches
28,Abdiel Arroyo\661c4991,FWMF,pa Panama,24,1993,2,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.99,0.99,0.00,0.99,Matches
29,Daniel Arzani\cd512214,MFFW,au Australia,19,1999,3,0,63,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.11,0.27,0.37,0.11,0.37,Matches
30,Marco Asensio\45af8a54,MF,es Spain,22,1996,3,1,132,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.16,0.12,0.28,0.16,0.28,Matches
31,Iago Aspas\7dcf86f6,FW,es Spain,30,1987,3,0,72,0.8,1,0,1,0,0,0,0,1.25,0.00,1.25,1.25,1.25,0.5,0.5,0.3,0.8,0.66,0.34,1.00,0.66,1.00,Matches
32,Muhannad Assiri\e64f7470,FW,sa Saudi Arabia,31,1986,2,0,33,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.21,0.00,0.21,0.21,0.21,Matches
33,Ludwig Augustinsson\9fec8860,DF,se Sweden,24,1994,5,5,450,5.0,1,0,1,0,0,0,0,0.20,0.00,0.20,0.20,0.20,0.4,0.4,0.2,0.6,0.09,0.04,0.12,0.09,0.12,Matches
