,,goals,goals,goals,goals,goals,assists,assists,assists,assists,assists,gca,gca,gca,gca,gca,passes,passes,passes,passes,passes,aerials_won_pct,aerials_won_pct,aerials_won_pct,aerials_won_pct,aerials_won_pct,tackles,tackles,tackles,tackles,tackles
,,min,25%,50%,75%,max,min,25%,50%,75%,max,min,25%,50%,75%,max,min,25%,50%,75%,max,min,25%,50%,75%,max,min,25%,50%,75%,max
squad,pos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. FC Köln,DF,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.5,2.75,7.0,0.0,0.5,4.0,7.25,13.0,405.0,1055.75,1421.5,1930.0,3540.0,65.5,92.67500000000001,142.45,165.95000000000002,201.0,19.0,34.5,62.5,124.0,141.0
1. FC Köln,FW,13.0,14.0,15.0,16.0,17.0,2.0,2.0,2.0,5.0,8.0,2.0,7.5,13.0,16.5,20.0,582.0,894.5,1207.0,1526.0,1845.0,140.9,150.10000000000002,159.3,189.7,220.1,15.0,23.0,31.0,60.5,90.0
1. FC Köln,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.75,1.0,1231.0,1666.75,2102.5,2538.25,2974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1. FC Köln,MF,1.0,1.75,3.5,9.0,19.0,0.0,1.75,5.0,7.5,11.0,0.0,4.75,7.5,20.5,23.0,428.0,1067.75,1217.5,2120.5,5002.0,39.1,86.47500000000001,116.3,146.4,230.6,12.0,51.5,55.0,84.0,292.0
1. FC Union Berlin,DF,0.0,2.0,2.0,4.0,7.0,0.0,0.0,2.0,7.0,17.0,0.0,1.0,4.0,14.0,23.0,516.0,1461.0,3502.0,3591.0,5844.0,120.9,123.0,179.0,214.1,235.2,23.0,69.0,131.0,147.0,160.0
1. FC Union Berlin,FW,3.0,4.75,7.5,13.25,25.0,1.0,2.0,2.5,6.0,17.0,5.0,6.0,7.0,12.5,34.0,367.0,495.0,664.5,902.25,2879.0,55.3,76.55,89.30000000000001,91.175,110.5,11.0,16.5,18.0,24.75,57.0
1. FC Union Berlin,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2690.0,2690.0,2690.0,2690.0,2690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1. FC Union Berlin,MF,0.0,1.5,4.0,5.0,8.0,0.0,2.0,3.0,6.5,7.0,1.0,6.5,8.0,9.0,15.0,564.0,1197.0,1549.0,2043.0,3298.0,79.8,121.25,155.2,185.4,201.5,36.0,64.0,79.0,114.5,186.0
